SLURM_JOBID=71772
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node[16-17]
SLURM_NODELIST=gpn-node[16-17]
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=16
SLURM_NNODES=2
Local work time: 3.771672, worked 3759280, iter 7, rank 8
Local work time: 3.828237, worked 3817180, iter 7, rank 10
Local work time: 4.024427, worked 4013860, iter 7, rank 9
Local work time: 1.354931, worked 1333000, iter 8, rank 2
Local work time: 1.374067, worked 1349360, iter 8, rank 3
Local work time: 1.437385, worked 1412980, iter 8, rank 4
Local work time: 1.508654, worked 1485840, iter 8, rank 1
Local work time: 1.651148, worked 1629540, iter 8, rank 5
Local work time: 1.842703, worked 1823020, iter 8, rank 0
Local work time: 2.077019, worked 2061240, iter 8, rank 6
Local work time: 2.244341, worked 2217240, iter 8, rank 15
Local work time: 2.551000, worked 2535480, iter 8, rank 7
Local work time: 2.767727, worked 2744040, iter 8, rank 14
Local work time: 3.058129, worked 3045160, iter 8, rank 8
Local work time: 3.261630, worked 3248640, iter 8, rank 13
Local work time: 3.544868, worked 3533240, iter 8, rank 9
Local work time: 3.683694, worked 3671440, iter 8, rank 12
Local work time: 3.914668, worked 3903280, iter 8, rank 10
Local work time: 4.017868, worked 4006500, iter 8, rank 11
Local work time: 1.347432, worked 1325460, iter 9, rank 4
Local work time: 1.391662, worked 1369800, iter 9, rank 5
Local work time: 1.397092, worked 1373320, iter 9, rank 3
Local work time: 1.494622, worked 1473320, iter 9, rank 6
Local work time: 1.675069, worked 1653760, iter 9, rank 2
Local work time: 1.790096, worked 1771260, iter 9, rank 7
Local work time: 2.059815, worked 2041400, iter 9, rank 1
Local work time: 2.282044, worked 2265260, iter 9, rank 8
Local work time: 2.553855, worked 2538560, iter 9, rank 0
Local work time: 2.777065, worked 2764440, iter 9, rank 9
Local work time: 3.066473, worked 3039560, iter 9, rank 15
Local work time: 3.296632, worked 3283960, iter 9, rank 10
Local work time: 3.569990, worked 3545960, iter 9, rank 14
Local work time: 3.687515, worked 3676240, iter 9, rank 11
Local work time: 3.889892, worked 3878380, iter 9, rank 13
Local work time: 4.010282, worked 3999320, iter 9, rank 12
Local work time: 1.344050, worked 1319920, iter 10, rank 6
Local work time: 1.356824, worked 1332440, iter 10, rank 5
Local work time: 1.361966, worked 1337700, iter 10, rank 7
Local work time: 1.541320, worked 1520000, iter 10, rank 4
Local work time: 1.587315, worked 1567060, iter 10, rank 8
Local work time: 1.995526, worked 1979180, iter 10, rank 9
Local work time: 1.998654, worked 1980000, iter 10, rank 3
Local work time: 2.365260, worked 2348340, iter 10, rank 2
Local work time: 2.426976, worked 2412200, iter 10, rank 10
Local work time: 2.858868, worked 2845300, iter 10, rank 1
Local work time: 2.974147, worked 2962220, iter 10, rank 11
Local work time: 3.376413, worked 3364540, iter 10, rank 0
Local work time: 3.429297, worked 3417240, iter 10, rank 12
Local work time: 3.792890, worked 3765460, iter 10, rank 15
Local work time: 3.831248, worked 3820800, iter 10, rank 13
Local work time: 4.053724, worked 4027600, iter 10, rank 14
Total time: 40.202173
Local work time: 1.354752, worked 1331420, iter 1, rank 7
Local work time: 1.364617, worked 1340180, iter 1, rank 8
Local work time: 1.431754, worked 1409780, iter 1, rank 6
Local work time: 1.462734, worked 1440880, iter 1, rank 9
Local work time: 1.714857, worked 1694220, iter 1, rank 5
Local work time: 1.720816, worked 1702200, iter 1, rank 10
Local work time: 2.158957, worked 2143060, iter 1, rank 11
Local work time: 2.166832, worked 2149740, iter 1, rank 4
Local work time: 2.646388, worked 2631940, iter 1, rank 12
Local work time: 2.670983, worked 2657540, iter 1, rank 3
Local work time: 3.158208, worked 3145320, iter 1, rank 13
Local work time: 3.159464, worked 3146060, iter 1, rank 2
Local work time: 3.639939, worked 3612080, iter 1, rank 14
Local work time: 3.681927, worked 3670120, iter 1, rank 1
Local work time: 3.967011, worked 3941840, iter 1, rank 15
Local work time: 3.994676, worked 3983620, iter 1, rank 0
Local work time: 1.355461, worked 1332000, iter 2, rank 10
Local work time: 1.382234, worked 1359640, iter 2, rank 9
Local work time: 1.389292, worked 1366780, iter 2, rank 8
Local work time: 1.543857, worked 1522460, iter 2, rank 11
Local work time: 1.598828, worked 1576940, iter 2, rank 7
Local work time: 1.880930, worked 1862280, iter 2, rank 12
Local work time: 1.964054, worked 1945060, iter 2, rank 6
Local work time: 2.343104, worked 2327980, iter 2, rank 13
Local work time: 2.434112, worked 2417960, iter 2, rank 5
Local work time: 2.874852, worked 2848060, iter 2, rank 14
Local work time: 2.974563, worked 2960600, iter 2, rank 4
Local work time: 3.356130, worked 3332500, iter 2, rank 15
Local work time: 3.466943, worked 3454300, iter 2, rank 3
Local work time: 3.803389, worked 3791980, iter 2, rank 0
Local work time: 3.838929, worked 3827600, iter 2, rank 2
Local work time: 4.085254, worked 4073860, iter 2, rank 1
Local work time: 1.354348, worked 1331600, iter 3, rank 10
Local work time: 1.360259, worked 1338240, iter 3, rank 11
Local work time: 1.397697, worked 1373600, iter 3, rank 12
Local work time: 1.496859, worked 1473280, iter 3, rank 9
Local work time: 1.665989, worked 1646040, iter 3, rank 13
Local work time: 1.791709, worked 1771540, iter 3, rank 8
Local work time: 2.088345, worked 2060700, iter 3, rank 14
Local work time: 2.266736, worked 2249040, iter 3, rank 7
Local work time: 2.562832, worked 2540560, iter 3, rank 15
Local work time: 2.764220, worked 2749220, iter 3, rank 6
Local work time: 3.064258, worked 3050640, iter 3, rank 0
Local work time: 3.289352, worked 3275540, iter 3, rank 5
Local work time: 3.531185, worked 3518740, iter 3, rank 1
Local work time: 3.725811, worked 3712960, iter 3, rank 4
Local work time: 3.929915, worked 3919840, iter 3, rank 2
Local work time: 3.999884, worked 3988460, iter 3, rank 3
Local work time: 1.336586, worked 1314180, iter 4, rank 13
Local work time: 1.389088, worked 1365780, iter 4, rank 11
Local work time: 1.414513, worked 1393260, iter 4, rank 12
Local work time: 1.502106, worked 1475460, iter 4, rank 14
Local work time: 1.684395, worked 1664200, iter 4, rank 10
Local work time: 1.792020, worked 1768660, iter 4, rank 15
Local work time: 2.066550, worked 2048440, iter 4, rank 9
Local work time: 2.264673, worked 2249100, iter 4, rank 0
Local work time: 2.557723, worked 2541400, iter 4, rank 8
Local work time: 2.765764, worked 2751460, iter 4, rank 1
Local work time: 3.046966, worked 3033320, iter 4, rank 7
Local work time: 3.256770, worked 3244760, iter 4, rank 2
Local work time: 3.585300, worked 3573980, iter 4, rank 6
Local work time: 3.680980, worked 3670020, iter 4, rank 3
Local work time: 3.925224, worked 3912840, iter 4, rank 5
Local work time: 4.004789, worked 3993140, iter 4, rank 4
Local work time: 1.359568, worked 1332640, iter 5, rank 14
Local work time: 1.373982, worked 1351000, iter 5, rank 13
Local work time: 1.403657, worked 1378640, iter 5, rank 15
Local work time: 1.545341, worked 1523080, iter 5, rank 12
Local work time: 1.599153, worked 1579220, iter 5, rank 0
Local work time: 1.897495, worked 1878460, iter 5, rank 11
Local work time: 1.973522, worked 1955280, iter 5, rank 1
Local work time: 2.370142, worked 2353060, iter 5, rank 10
Local work time: 2.437103, worked 2422040, iter 5, rank 2
Local work time: 2.844450, worked 2829400, iter 5, rank 9
Local work time: 2.964823, worked 2951520, iter 5, rank 3
