SLURM_JOBID=71755
SLURM_SUBMIT_DIR=/home/fit_opp/22210/zagneev/lab5
SLURM_JOB_NODELIST=gpn-node16
SLURM_NODELIST=gpn-node16
SLURM_CPUS_PER_TASK=1
SLURM_NTASKS=8
SLURM_NNODES=1
Local work time: 7.889028, worked 7865840, iter 2, rank 0
Local work time: 2.723206, worked 2669840, iter 3, rank 5
Local work time: 3.065626, worked 3019640, iter 3, rank 6
Local work time: 3.292235, worked 3244820, iter 3, rank 4
Local work time: 4.632941, worked 4601260, iter 3, rank 7
Local work time: 5.035235, worked 4998260, iter 3, rank 3
Local work time: 6.595125, worked 6569380, iter 3, rank 0
Local work time: 7.017007, worked 6988500, iter 3, rank 2
Local work time: 7.932472, worked 7908300, iter 3, rank 1
Local work time: 2.757891, worked 2707440, iter 4, rank 6
Local work time: 3.077629, worked 3029980, iter 4, rank 5
Local work time: 3.287566, worked 3244120, iter 4, rank 7
Local work time: 4.627524, worked 4589840, iter 4, rank 4
Local work time: 5.032075, worked 5000560, iter 4, rank 0
Local work time: 6.635033, worked 6607300, iter 4, rank 3
Local work time: 6.940542, worked 6914780, iter 4, rank 1
Local work time: 7.930575, worked 7905980, iter 4, rank 2
Local work time: 2.763304, worked 2711280, iter 5, rank 7
Local work time: 2.922692, worked 2874080, iter 5, rank 6
Local work time: 3.576262, worked 3534500, iter 5, rank 0
Local work time: 4.270369, worked 4231520, iter 5, rank 5
Local work time: 5.404599, worked 5373560, iter 5, rank 1
Local work time: 6.220036, worked 6189340, iter 5, rank 4
Local work time: 7.300923, worked 7277320, iter 5, rank 2
Local work time: 7.833368, worked 7808400, iter 5, rank 3
Local work time: 2.795269, worked 2744560, iter 6, rank 7
Local work time: 2.800900, worked 2749720, iter 6, rank 0
Local work time: 3.903617, worked 3864180, iter 6, rank 1
Local work time: 3.912568, worked 3870160, iter 6, rank 6
Local work time: 5.826974, worked 5799200, iter 6, rank 2
Local work time: 5.834475, worked 5802600, iter 6, rank 5
Local work time: 7.564044, worked 7539440, iter 6, rank 3
Local work time: 7.656114, worked 7630140, iter 6, rank 4
Local work time: 2.784097, worked 2732260, iter 7, rank 0
Local work time: 2.939860, worked 2890900, iter 7, rank 1
Local work time: 3.625296, worked 3581580, iter 7, rank 7
Local work time: 4.236066, worked 4199540, iter 7, rank 2
Local work time: 5.420800, worked 5388340, iter 7, rank 6
Local work time: 6.220016, worked 6193840, iter 7, rank 3
Local work time: 7.267448, worked 7240400, iter 7, rank 5
Local work time: 7.796901, worked 7773140, iter 7, rank 4
Local work time: 2.736478, worked 2682360, iter 8, rank 1
Local work time: 3.089039, worked 3042520, iter 8, rank 2
Local work time: 3.355087, worked 3308860, iter 8, rank 0
Local work time: 4.628741, worked 4596720, iter 8, rank 3
Local work time: 4.997383, worked 4961280, iter 8, rank 7
Local work time: 6.604028, worked 6578400, iter 8, rank 4
Local work time: 6.947727, worked 6920080, iter 8, rank 6
Local work time: 7.934470, worked 7909780, iter 8, rank 5
Local work time: 2.744507, worked 2695260, iter 9, rank 2
Local work time: 3.075629, worked 3027080, iter 9, rank 1
Local work time: 3.288792, worked 3244580, iter 9, rank 3
Local work time: 4.615399, worked 4579960, iter 9, rank 0
Local work time: 5.060038, worked 5029700, iter 9, rank 4
Local work time: 6.615806, worked 6585520, iter 9, rank 7
Local work time: 6.984369, worked 6960200, iter 9, rank 5
Local work time: 7.900881, worked 7877700, iter 9, rank 6
Local work time: 2.710882, worked 2657620, iter 10, rank 3
Local work time: 2.901788, worked 2852440, iter 10, rank 2
Local work time: 3.588185, worked 3546240, iter 10, rank 4
Local work time: 4.368436, worked 4328340, iter 10, rank 1
Local work time: 5.403357, worked 5374420, iter 10, rank 5
Local work time: 6.240546, worked 6209840, iter 10, rank 0
Local work time: 7.263207, worked 7238040, iter 10, rank 6
Total time: 78.372631
Local work time: 7.818857, worked 7793060, iter 10, rank 7
Local work time: 2.791544, worked 2741200, iter 1, rank 3
Local work time: 2.833320, worked 2781060, iter 1, rank 4
Local work time: 3.884697, worked 3845260, iter 1, rank 5
Local work time: 3.885520, worked 3843960, iter 1, rank 2
Local work time: 5.806460, worked 5777260, iter 1, rank 6
Local work time: 5.834859, worked 5803600, iter 1, rank 1
Local work time: 7.578112, worked 7553920, iter 1, rank 7
Local work time: 7.678783, worked 7653740, iter 1, rank 0
Local work time: 2.775721, worked 2726420, iter 2, rank 4
Local work time: 2.906014, worked 2854460, iter 2, rank 5
Local work time: 3.567653, worked 3522000, iter 2, rank 3
Local work time: 4.226041, worked 4190260, iter 2, rank 6
Local work time: 5.412996, worked 5378560, iter 2, rank 2
Local work time: 6.206639, worked 6180560, iter 2, rank 7
Local work time: 7.307884, worked 7281900, iter 2, rank 1
Local work time: 7.890122, worked 7865840, iter 2, rank 0
Local work time: 2.722340, worked 2669840, iter 3, rank 5
Local work time: 3.066955, worked 3019640, iter 3, rank 6
Local work time: 3.292715, worked 3244820, iter 3, rank 4
Local work time: 4.632181, worked 4601260, iter 3, rank 7
Local work time: 5.033306, worked 4998260, iter 3, rank 3
Local work time: 6.595641, worked 6569380, iter 3, rank 0
Local work time: 7.015481, worked 6988500, iter 3, rank 2
Local work time: 7.932825, worked 7908300, iter 3, rank 1
Local work time: 2.758323, worked 2707440, iter 4, rank 6
Local work time: 3.079761, worked 3029980, iter 4, rank 5
Local work time: 3.287645, worked 3244120, iter 4, rank 7
Local work time: 4.628473, worked 4589840, iter 4, rank 4
Local work time: 5.032575, worked 5000560, iter 4, rank 0
Local work time: 6.635522, worked 6607300, iter 4, rank 3
Local work time: 6.938944, worked 6914780, iter 4, rank 1
Local work time: 7.930344, worked 7905980, iter 4, rank 2
Local work time: 2.761065, worked 2711280, iter 5, rank 7
Local work time: 2.922142, worked 2874080, iter 5, rank 6
Local work time: 3.573927, worked 3534500, iter 5, rank 0
Local work time: 4.268878, worked 4231520, iter 5, rank 5
Local work time: 5.401891, worked 5373560, iter 5, rank 1
Local work time: 6.219860, worked 6189340, iter 5, rank 4
Local work time: 7.299794, worked 7277320, iter 5, rank 2
Local work time: 7.834498, worked 7808400, iter 5, rank 3
Local work time: 2.796127, worked 2744560, iter 6, rank 7
Local work time: 2.800751, worked 2749720, iter 6, rank 0
Local work time: 3.902816, worked 3864180, iter 6, rank 1
Local work time: 3.911192, worked 3870160, iter 6, rank 6
Local work time: 5.826830, worked 5799200, iter 6, rank 2
Local work time: 5.834532, worked 5802600, iter 6, rank 5
Local work time: 7.564114, worked 7539440, iter 6, rank 3
Local work time: 7.654961, worked 7630140, iter 6, rank 4
Local work time: 2.782981, worked 2732260, iter 7, rank 0
Local work time: 2.940264, worked 2890900, iter 7, rank 1
Local work time: 3.625217, worked 3581580, iter 7, rank 7
Local work time: 4.233500, worked 4199540, iter 7, rank 2
Local work time: 5.417701, worked 5388340, iter 7, rank 6
Local work time: 6.220798, worked 6193840, iter 7, rank 3
Local work time: 7.267417, worked 7240400, iter 7, rank 5
Local work time: 7.795363, worked 7773140, iter 7, rank 4
Local work time: 2.734981, worked 2682360, iter 8, rank 1
Local work time: 3.088599, worked 3042520, iter 8, rank 2
Local work time: 3.353926, worked 3308860, iter 8, rank 0
Local work time: 4.632533, worked 4596720, iter 8, rank 3
Local work time: 4.996248, worked 4961280, iter 8, rank 7
Local work time: 6.603122, worked 6578400, iter 8, rank 4
Local work time: 6.947294, worked 6920080, iter 8, rank 6
Local work time: 7.933853, worked 7909780, iter 8, rank 5
Local work time: 2.746036, worked 2695260, iter 9, rank 2
Local work time: 3.075486, worked 3027080, iter 9, rank 1
Local work time: 3.289199, worked 3244580, iter 9, rank 3
Local work time: 4.617728, worked 4579960, iter 9, rank 0
Local work time: 5.060308, worked 5029700, iter 9, rank 4
